Parcel_ID,Packaging_Type,Fill_Level,Handling_Stage,Humidity_Level,Stacking,Fragile_Label,Impact_Events,Dropped,Damaged
P0000,Envelope,Underfilled,Delivery,Low,High,1,2,0,0
P0001,Crate,Proper,Transport,Low,None,0,1,0,0
P0002,Box,Proper,Loading,Medium,None,0,0,0,0
P0003,Envelope,Proper,Transport,Medium,Moderate,0,3,0,0
P0004,Envelope,Overfilled,Delivery,Medium,High,0,1,0,0
P0005,Crate,Underfilled,Conveyor,High,High,0,2,0,0
P0006,Box,Proper,Transport,Low,Moderate,0,1,0,0
P0007,Box,Proper,Conveyor,Medium,Moderate,1,0,0,0
P0008,Envelope,Underfilled,Loading,Low,High,0,1,1,1
P0009,Polybag,Underfilled,Sorting,Medium,None,0,2,0,1
P0010,Envelope,Proper,Loading,Low,High,0,4,0,0
P0011,Envelope,Underfilled,Transport,Low,Moderate,1,2,0,0
P0012,Envelope,Overfilled,Conveyor,Low,None,0,1,0,0
P0013,Envelope,Proper,Conveyor,Medium,None,0,2,0,0
P0014,Crate,Proper,Delivery,Medium,Moderate,0,2,0,0
P0015,Box,Overfilled,Conveyor,Medium,Moderate,0,2,0,0
P0016,Crate,Proper,Delivery,High,Moderate,0,1,0,0
P0017,Crate,Underfilled,Sorting,Low,High,1,6,0,1
P0018,Crate,Overfilled,Transport,Low,High,1,1,0,0
P0019,Envelope,Proper,Delivery,High,None,0,1,0,0
P0020,Polybag,Proper,Sorting,Low,Moderate,0,0,0,0
P0021,Box,Overfilled,Conveyor,High,None,1,0,1,1
P0022,Polybag,Proper,Conveyor,Low,None,1,2,0,0
P0023,Crate,Underfilled,Sorting,High,None,0,0,0,0
P0024,Crate,Underfilled,Conveyor,Low,None,0,1,0,1
P0025,Polybag,Proper,Sorting,High,Moderate,0,2,0,0
P0026,Polybag,Proper,Delivery,Medium,None,0,2,1,0
P0027,Polybag,Overfilled,Delivery,High,Moderate,1,0,0,1
P0028,Crate,Underfilled,Sorting,Low,Moderate,1,1,1,0
P0029,Crate,Proper,Delivery,Medium,High,1,5,0,0
P0030,Box,Proper,Delivery,High,Moderate,0,2,1,0
P0031,Box,Underfilled,Delivery,Medium,High,0,4,0,0
P0032,Crate,Underfilled,Loading,Medium,Moderate,1,2,0,0
P0033,Polybag,Proper,Transport,Medium,Moderate,1,0,0,0
P0034,Polybag,Overfilled,Conveyor,Medium,Moderate,0,1,0,0
P0035,Box,Proper,Loading,Medium,High,1,1,0,0
P0036,Crate,Proper,Delivery,Medium,High,1,0,0,1
P0037,Box,Proper,Sorting,High,None,0,0,0,0
P0038,Box,Proper,Delivery,Low,High,0,2,0,0
P0039,Envelope,Overfilled,Transport,Low,High,0,1,0,0
P0040,Envelope,Overfilled,Delivery,High,High,0,2,0,0
P0041,Envelope,Proper,Sorting,High,High,0,3,0,0
P0042,Polybag,Proper,Transport,Medium,None,1,1,0,0
P0043,Crate,Proper,Delivery,Medium,High,0,2,0,0
P0044,Crate,Proper,Transport,Low,Moderate,0,2,0,0
P0045,Crate,Underfilled,Conveyor,Low,Moderate,0,1,0,0
P0046,Crate,Proper,Conveyor,Medium,High,0,0,0,0
P0047,Envelope,Proper,Delivery,Low,High,1,0,0,0
P0048,Polybag,Underfilled,Transport,Medium,Moderate,0,2,0,0
P0049,Polybag,Proper,Sorting,Low,Moderate,0,4,0,0
P0050,Envelope,Overfilled,Delivery,High,None,1,2,0,0
P0051,Polybag,Underfilled,Conveyor,High,Moderate,0,0,0,1
P0052,Envelope,Underfilled,Conveyor,Medium,Moderate,0,1,0,0
P0053,Crate,Proper,Delivery,Medium,High,0,1,1,0
P0054,Envelope,Overfilled,Transport,Low,Moderate,0,2,0,0
P0055,Crate,Underfilled,Conveyor,High,None,0,2,0,0
P0056,Crate,Proper,Transport,Medium,Moderate,0,5,0,0
P0057,Box,Proper,Conveyor,Low,High,0,0,0,0
P0058,Envelope,Underfilled,Conveyor,High,High,1,1,0,0
P0059,Box,Proper,Loading,High,Moderate,0,1,1,0
P0060,Envelope,Proper,Conveyor,High,High,0,1,0,0
P0061,Envelope,Proper,Sorting,Medium,None,0,0,0,0
P0062,Box,Proper,Delivery,Medium,None,0,1,1,0
P0063,Box,Proper,Delivery,Medium,Moderate,0,2,0,0
P0064,Envelope,Underfilled,Transport,High,Moderate,0,2,0,1
P0065,Polybag,Proper,Conveyor,High,Moderate,1,2,0,1
P0066,Crate,Proper,Sorting,Low,High,0,6,0,0
P0067,Box,Underfilled,Transport,Low,None,0,3,0,0
P0068,Crate,Underfilled,Loading,Low,None,0,0,1,0
P0069,Polybag,Proper,Transport,High,High,1,2,0,0
P0070,Polybag,Proper,Transport,High,None,0,1,0,0
P0071,Polybag,Underfilled,Conveyor,Low,Moderate,0,2,0,0
P0072,Box,Proper,Loading,Medium,Moderate,0,3,0,0
P0073,Polybag,Underfilled,Transport,Low,Moderate,1,1,0,0
P0074,Box,Proper,Sorting,High,None,0,2,0,0
P0075,Polybag,Underfilled,Sorting,High,Moderate,1,3,0,1
P0076,Crate,Proper,Delivery,High,High,0,3,0,0
P0077,Crate,Proper,Loading,Medium,High,0,2,0,0
P0078,Envelope,Overfilled,Loading,Medium,None,0,2,0,0
P0079,Crate,Underfilled,Delivery,Low,High,0,1,0,0
P0080,Envelope,Proper,Transport,Low,High,0,0,0,0
P0081,Crate,Underfilled,Loading,High,None,0,1,0,1
P0082,Box,Overfilled,Sorting,High,Moderate,1,1,1,1
P0083,Crate,Overfilled,Sorting,High,Moderate,0,4,0,1
P0084,Envelope,Proper,Conveyor,High,Moderate,0,1,0,0
P0085,Envelope,Proper,Loading,Medium,None,0,0,0,0
P0086,Polybag,Proper,Transport,Medium,High,0,1,0,0
P0087,Box,Proper,Delivery,High,Moderate,0,3,0,0
P0088,Crate,Proper,Delivery,High,Moderate,0,2,0,0
P0089,Polybag,Underfilled,Transport,Low,None,0,0,0,0
P0090,Crate,Underfilled,Conveyor,Medium,Moderate,1,2,0,1
P0091,Crate,Overfilled,Delivery,Low,None,1,0,0,0
P0092,Polybag,Overfilled,Loading,High,High,0,2,0,0
P0093,Polybag,Proper,Conveyor,Medium,None,0,1,1,0
P0094,Polybag,Proper,Loading,Low,None,0,2,0,0
P0095,Polybag,Proper,Sorting,Medium,None,0,2,0,0
P0096,Polybag,Proper,Conveyor,Medium,None,0,3,0,0
P0097,Crate,Overfilled,Delivery,Low,High,0,0,0,0
P0098,Polybag,Overfilled,Conveyor,Low,High,1,0,0,0
P0099,Box,Proper,Conveyor,Medium,Moderate,0,2,0,0
P0100,Envelope,Proper,Conveyor,Medium,High,0,2,1,1
P0101,Polybag,Underfilled,Conveyor,Medium,High,0,5,0,1
P0102,Polybag,Underfilled,Loading,Medium,Moderate,0,0,0,0
P0103,Crate,Overfilled,Sorting,High,High,0,0,0,0
P0104,Polybag,Proper,Transport,Medium,None,0,3,0,0
P0105,Polybag,Underfilled,Conveyor,Medium,None,0,0,0,0
P0106,Polybag,Underfilled,Delivery,High,Moderate,1,0,0,0
P0107,Crate,Proper,Conveyor,Medium,Moderate,0,2,0,0
P0108,Polybag,Underfilled,Delivery,Low,Moderate,0,1,1,0
P0109,Envelope,Underfilled,Loading,Low,None,0,1,0,1
P0110,Crate,Proper,Delivery,Medium,High,0,2,0,0
P0111,Envelope,Proper,Transport,Medium,None,0,0,0,0
P0112,Crate,Proper,Sorting,Medium,Moderate,1,0,0,0
P0113,Polybag,Underfilled,Delivery,Low,High,1,1,0,0
P0114,Envelope,Proper,Delivery,Low,High,1,1,0,0
P0115,Crate,Underfilled,Sorting,Low,None,0,3,0,0
P0116,Box,Proper,Transport,Low,Moderate,0,1,0,0
P0117,Polybag,Proper,Conveyor,Medium,None,0,2,0,0
P0118,Crate,Proper,Delivery,Low,High,0,2,0,0
P0119,Box,Proper,Sorting,Medium,None,1,1,1,0
P0120,Crate,Proper,Loading,High,None,0,1,0,0
P0121,Box,Proper,Sorting,Low,Moderate,0,0,0,0
P0122,Polybag,Underfilled,Loading,Medium,Moderate,0,1,0,0
P0123,Envelope,Proper,Transport,Medium,High,0,0,0,0
P0124,Box,Proper,Conveyor,Low,None,0,1,0,0
P0125,Crate,Underfilled,Sorting,Medium,None,0,3,1,1
P0126,Polybag,Overfilled,Delivery,High,None,0,0,0,0
P0127,Box,Proper,Transport,High,High,1,0,0,0
P0128,Crate,Overfilled,Sorting,Low,High,1,2,0,0
P0129,Crate,Proper,Delivery,High,Moderate,0,1,0,0
P0130,Crate,Proper,Sorting,Medium,Moderate,0,4,0,0
P0131,Box,Proper,Loading,Low,Moderate,0,2,0,0
P0132,Box,Proper,Sorting,Medium,None,0,3,1,1
P0133,Box,Proper,Sorting,High,None,0,3,0,0
P0134,Envelope,Underfilled,Sorting,Medium,Moderate,0,0,0,0
P0135,Box,Proper,Transport,Low,None,0,1,0,0
P0136,Box,Proper,Sorting,Medium,Moderate,0,1,0,0
P0137,Box,Underfilled,Delivery,Low,High,0,2,0,1
P0138,Envelope,Proper,Loading,Low,Moderate,0,3,0,0
P0139,Box,Underfilled,Loading,Low,High,1,1,0,1
P0140,Crate,Overfilled,Sorting,Low,None,1,3,0,0
P0141,Box,Overfilled,Transport,Low,Moderate,0,1,0,0
P0142,Crate,Overfilled,Transport,Low,None,1,0,0,0
P0143,Crate,Proper,Delivery,Medium,High,0,1,1,1
P0144,Crate,Underfilled,Sorting,Low,High,1,3,0,1
P0145,Envelope,Overfilled,Loading,Low,High,1,1,0,0
P0146,Envelope,Proper,Transport,High,None,0,1,0,0
P0147,Envelope,Overfilled,Sorting,Medium,None,0,2,1,1
P0148,Box,Overfilled,Transport,Medium,None,0,4,1,0
P0149,Crate,Overfilled,Transport,Low,None,0,1,0,0
P0150,Envelope,Proper,Loading,Low,High,0,1,0,0
P0151,Envelope,Proper,Conveyor,Low,High,0,3,0,0
P0152,Box,Overfilled,Delivery,Low,Moderate,0,2,0,0
P0153,Envelope,Proper,Delivery,Low,Moderate,1,2,0,0
P0154,Box,Underfilled,Loading,Low,None,1,2,0,0
P0155,Polybag,Proper,Transport,Low,High,0,2,0,0
P0156,Envelope,Overfilled,Sorting,Low,High,0,1,0,0
P0157,Polybag,Proper,Transport,Medium,High,0,0,0,1
P0158,Box,Proper,Loading,Low,Moderate,0,2,0,0
P0159,Crate,Underfilled,Delivery,Low,Moderate,1,1,0,0
P0160,Envelope,Proper,Transport,Medium,High,0,1,0,1
P0161,Box,Overfilled,Delivery,Medium,High,0,2,0,1
P0162,Crate,Underfilled,Sorting,Low,High,0,0,0,1
P0163,Crate,Proper,Delivery,Medium,Moderate,0,0,0,0
P0164,Polybag,Overfilled,Delivery,Medium,High,0,1,1,0
P0165,Box,Proper,Conveyor,Low,High,1,2,0,0
P0166,Crate,Proper,Conveyor,High,None,0,2,0,0
P0167,Envelope,Proper,Conveyor,High,None,0,0,0,0
